SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,702 E 51st St #3,Chicago,IL,60615,269900,3,2.0,Parkview Condos,1600,,1906,1,169,377,Active,,,https://www.redfin.com/IL/Chicago/702-E-51st-St-60615/unit-3/home/12761478,MRED,11903334,N,Y,41.8025023,-87.6087538
MLS Listing,,Multi-Family (2-4 Unit),7230 S Union Ave,Chicago,IL,60621,224900,6,2.0,CHI - Englewood,,3484,1904,1,,,Active,,,https://www.redfin.com/IL/Chicago/7230-S-Union-Ave-60621/home/23098326,MRED,11890813,N,Y,41.7624735,-87.6418684
MLS Listing,,Condo/Co-op,222 S Racine Ave #507,Chicago,IL,60607,450000,2,2.0,CHI - Near West Side,1425,,1997,1,316,570,Active,,,https://www.redfin.com/IL/Chicago/222-S-Racine-Ave-60607/unit-507/home/12712797,MRED,11900173,N,Y,41.8783928,-87.6572885
MLS Listing,,Single Family Residential,3435 N Tripp Ave,Chicago,IL,60641,564000,5,3.5,CHI - Irving Park,2305,3750,1915,1,245,,Active,,,https://www.redfin.com/IL/Chicago/3435-N-Tripp-Ave-60641/home/13456354,MRED,11902908,N,Y,41.9436986,-87.7331907
MLS Listing,,Condo/Co-op,680 S Federal St #708,Chicago,IL,60605,202000,1,1.0,Printers Square,,,1910,1,,500,Active,,,https://www.redfin.com/IL/Chicago/680-S-Federal-St-60605/unit-708/home/18917190,MRED,11900833,N,Y,41.8730948,-87.629905
MLS Listing,,Single Family Residential,6933 S East End Ave,Chicago,IL,60649,325000,4,3.0,CHI - South Shore,1440,31058,2000,1,226,,Active,October-7-2023 12:00 PM,October-7-2023 02:00 PM,https://www.redfin.com/IL/Chicago/6933-S-East-End-Ave-60649/home/13926990,MRED,11890411,N,Y,41.7688714,-87.5824877
MLS Listing,,Single Family Residential,3752 W 87th St,Chicago,IL,60652,199900,3,1.0,CHI - Ashburn,1020,,1956,1,196,,Active,,,https://www.redfin.com/IL/Chicago/3752-W-87th-St-60652/home/13967007,MRED,11897555,N,Y,41.7352129,-87.7162803
MLS Listing,,Condo/Co-op,1875 N Winnebago Ave Unit 1E,Chicago,IL,60647,375000,2,3.0,CHI - Logan Square,,,2001,1,,361,Active,October-7-2023 01:00 PM,October-7-2023 03:00 PM,https://www.redfin.com/IL/Chicago/1875-N-Winnebago-Ave-60647/unit-1E/home/187838715,MRED,11901786,N,Y,41.9154697,-87.6865606
MLS Listing,,Condo/Co-op,2028 W Augusta Blvd Unit 2E,Chicago,IL,60622,485000,2,2.0,CHI - West Town,1250,,2008,1,388,197,Active,October-7-2023 11:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/IL/Chicago/2028-W-Augusta-Blvd-60622/unit-2E/home/26812669,MRED,11897414,N,Y,41.8997658,-87.6783192
MLS Listing,,Condo/Co-op,3705 W Altgeld St #1,Chicago,IL,60647,250000,2,1.0,CHI - Logan Square,,,1932,1,,211,Active,October-7-2023 12:00 PM,October-7-2023 02:00 PM,https://www.redfin.com/IL/Chicago/3705-W-Altgeld-St-60647/unit-1/home/23019906,MRED,11896491,N,Y,41.9262115,-87.719918
MLS Listing,,Single Family Residential,2937 N Neenah Ave,Chicago,IL,60634,400000,4,2.0,CHI - Belmont Cragin,,3750,1928,1,,,Active,October-7-2023 11:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/IL/Chicago/2937-N-Neenah-Ave-60634/home/13433912,MRED,11900744,N,Y,41.9339264,-87.789188
